PWS ID,ZIPCODE,postal_code,latitude,longitude
TN0000707,38382.0,38382.0,35.9712,-88.9507
TN0000820,42223.0,42223.0,36.6543,-87.4606
TX0300005,79510.0,79510.0,32.3803,-99.5184
TX0710001,79821.0,79821.0,31.9907,-106.5976
TX0720001,76446.0,76446.0,32.0909,-98.3455
TX1010003,77520.0,77520.0,29.7461,-94.9653
TX1010056,77058.0,77058.0,29.5716,-95.0998
TX1160004,75401.0,75401.0,33.1854,-96.1304
TX1290006,75160.0,75160.0,32.7515,-96.2831
TX2200012,76008.0,76008.0,32.7004,-97.6039
TX2200014,76111.0,76111.0,32.7824,-97.3003
TX2210001,79601.0,79601.0,32.4682,-99.7182
TX2270033,76574.0,76574.0,30.5708,-97.4094
TX2360001,77320.0,77320.0,30.847,-95.597
UTAH27006,84784.0,84784.0,37.0044,-112.9784
VA2770900,24002.0,24002.0,37.2742,-79.9579
VA6059455,22060.0,22060.0,38.6947,-77.1433
VA6061318,20187.0,20187.0,38.7153,-77.7417
VA6107650,20141.0,20141.0,39.1164,-77.7802
VA6153060,22134.0,22134.0,38.531,-77.3358
VA6153625,20112.0,20112.0,38.6665,-77.4248
WA5305800,99320.0,99320.0,46.2806,-119.4913
WA5310800,98607.0,98607.0,45.6058,-122.4142
WA5313333,98601.0,98601.0,45.9195,-122.4574
WA5326050,98433.0,98433.0,47.1125,-122.5891
WA5338100,99336.0,99336.0,46.2109,-119.168
WA5340900,98029.0,98029.0,47.5585,-122.0055
WA5352200,98433.0,98433.0,47.1125,-122.5891
WA5356300,98837.0,98837.0,47.1374,-119.2891
WA5366200,98387.0,98387.0,47.0732,-122.3943
WA5389250,99216.0,99216.0,47.6634,-117.2193
WA5391200,98660.0,98660.0,45.6418,-122.6801
WI2670110,53027.0,53027.0,43.3157,-88.3707
WI2670112,53040.0,53040.0,43.5214,-88.1925
WI2680205,53029.0,53029.0,43.1172,-88.3446
WI4150526,54235.0,54235.0,44.8438,-87.3753
WI6320309,54601.0,54601.0,43.7989,-91.2175
WI6480243,54021.0,54021.0,44.7476,-92.7535
WI7370162,54403.0,54403.0,44.9529,-89.5318
WI7720165,54449.0,54449.0,44.6615,-90.1784
WI8581084,54843.0,54843.0,45.9552,-91.2783
WV3301520,26034.0,26034.0,40.5981,-80.5584
WV3305203,26155.0,26155.0,39.6588,-80.8565
WV3305404,26101.0,26101.0,39.2644,-81.5354
WV3305407,26101.0,26101.0,39.2644,-81.5354
WV3305412,26187.0,26187.0,39.3824,-81.4566
WY5600047,82501.0,82501.0,43.0351,-108.2024
